time,actual_demand,interconnection,solar,wind,co2emission,renewable_contribution,renewable_percentage,interconnection_status
2026-04-05 00:00:00,3438,520,2,1543,505.0,1545,44.938917975567186,Import
2026-04-05 00:15:00,3415,521,2,1517,470.0,1519,44.48023426061493,Import
2026-04-05 00:30:00,3312,521,2,1452,460.0,1454,43.90096618357488,Import
2026-04-05 00:45:00,3669,1008,2,1404,0.0,1406,38.32106841101117,Import
2026-04-05 01:00:00,3663,1050,2,1489,0.0,1491,40.7043407043407,Import
2026-04-05 01:15:00,3629,1051,2,1429,0.0,1431,39.43235050978231,Import
2026-04-05 01:30:00,3576,1020,2,1442,0.0,1444,40.380313199105146,Import
2026-04-05 01:45:00,3563,953,2,1497,0.0,1499,42.071288240246986,Import
2026-04-05 02:00:00,3551,886,2,1522,0.0,1524,42.917488031540415,Import
2026-04-05 02:15:00,3620,949,2,1503,0.0,1505,41.57458563535912,Import
2026-04-05 02:30:00,3585,950,2,1454,0.0,1456,40.61366806136681,Import
2026-04-05 02:45:00,3563,948,2,1457,0.0,1459,40.94863878753859,Import
2026-04-05 03:00:00,3529,1017,2,1376,0.0,1378,39.04788892037404,Import
2026-04-05 03:15:00,3522,1050,2,1335,0.0,1337,37.96138557637706,Import
2026-04-05 03:30:00,3479,1015,2,1310,0.0,1312,37.711986202931875,Import
2026-04-05 03:45:00,3444,981,2,1306,0.0,1308,37.97909407665505,Import
2026-04-05 04:00:00,3411,978,2,1275,0.0,1277,37.43770155379654,Import
2026-04-05 04:15:00,3412,976,2,1287,0.0,1289,37.77842907385697,Import
2026-04-05 04:30:00,3417,937,2,1316,0.0,1318,38.57184664910741,Import
2026-04-05 04:45:00,3402,898,2,1321,0.0,1323,38.88888888888889,Import
2026-04-05 05:00:00,3379,898,2,1309,0.0,1311,38.798461083160696,Import
2026-04-05 05:15:00,3392,901,2,1308,0.0,1310,38.62028301886792,Import
2026-04-05 05:30:00,3364,848,2,1324,0.0,1326,39.417360285374556,Import
2026-04-05 05:45:00,3368,786,2,1359,0.0,1361,40.409738717339664,Import
2026-04-05 06:00:00,3377,830,2,1364,0.0,1366,40.45010364228605,Import
2026-04-05 06:15:00,3427,861,2,1374,0.0,1376,40.1517362124307,Import
2026-04-05 06:30:00,3450,846,2,1402,0.0,1404,40.69565217391305,Import
2026-04-05 06:45:00,3476,829,2,1462,0.0,1464,42.11737629459149,Import
2026-04-05 07:00:00,3476,861,9,1450,0.0,1459,41.973532796317606,Import
2026-04-05 07:15:00,3565,889,29,1460,0.0,1489,41.767180925666196,Import
2026-04-05 07:30:00,3561,914,48,1401,0.0,1449,40.69081718618366,Import
2026-04-05 07:45:00,3604,930,100,1344,0.0,1444,40.066592674805776,Import
2026-04-05 08:00:00,3633,981,112,1320,0.0,1432,39.41646022570878,Import
2026-04-05 08:15:00,3681,1036,189,1271,0.0,1460,39.66313501765825,Import
2026-04-05 08:30:00,3706,1027,302,1212,0.0,1514,40.852671343766865,Import
2026-04-05 08:45:00,3730,1027,312,1178,0.0,1490,39.946380697050934,Import
2026-04-05 09:00:00,3740,1049,349,1138,0.0,1487,39.75935828877005,Import
2026-04-05 09:15:00,3754,993,376,1165,0.0,1541,41.049547149706974,Import
2026-04-05 09:30:00,3727,1005,374,1139,0.0,1513,40.59565334048833,Import
2026-04-05 09:45:00,3754,1031,379,1145,0.0,1524,40.5966968566862,Import
2026-04-05 10:00:00,3739,1041,407,1120,0.0,1527,40.83979673709548,Import
2026-04-05 10:15:00,3765,1050,407,1137,0.0,1544,41.00929614873838,Import
2026-04-05 10:30:00,3740,1050,484,1045,0.0,1529,40.88235294117647,Import
2026-04-05 10:45:00,3725,1050,460,1052,0.0,1512,40.59060402684564,Import
2026-04-05 11:00:00,3761,1050,434,1089,0.0,1523,40.494549321988835,Import
2026-04-05 11:15:00,3756,977,496,1121,0.0,1617,43.05111821086262,Import
2026-04-05 11:30:00,3751,999,479,1086,0.0,1565,41.72220741135697,Import
2026-04-05 11:45:00,3766,1050,467,1036,0.0,1503,39.909718534253855,Import
2026-04-05 12:00:00,3810,1051,458,1101,0.0,1559,40.91863517060367,Import
2026-04-05 12:15:00,3865,1050,473,1127,0.0,1600,41.39715394566624,Import
2026-04-05 12:30:00,3839,1051,500,1086,0.0,1586,41.31284188590779,Import
2026-04-05 12:45:00,3854,1050,480,1109,0.0,1589,41.22989102231448,Import
2026-04-05 13:00:00,3793,1050,491,1050,0.0,1541,40.62747165831795,Import
2026-04-05 13:15:00,3808,1052,492,1040,0.0,1532,40.23109243697479,Import
2026-04-05 13:30:00,3751,1050,468,1017,0.0,1485,39.589442815249264,Import
2026-04-05 13:45:00,3729,1050,437,994,0.0,1431,38.37489943684634,Import
2026-04-05 14:00:00,3723,1053,440,989,0.0,1429,38.38302444265377,Import
2026-04-05 14:15:00,3682,1050,435,973,0.0,1408,38.24008690928843,Import
2026-04-05 14:30:00,3643,1049,438,986,0.0,1424,39.08866318967883,Import
